text_content,extracted_keywords,true_category,true_severity
Caller reports a truck accident at Market Road. There is diesel leak. People are moving away. The weather is dense fog.,truck accident; dense fog; diesel leak,CRASH,2
We have a dam overflow near Railway Yard. It happened early this morning. People are moving away. Traffic is building up. Send someone now!,railway yard; dam overflow; happened,FLOOD,1
"Wait, yes, Ahhh! Caller reports a boat accident at Warehouse District. There is blocked road. The weather is thunderstorm.",boat accident; blocked road; warehouse district,CRASH,2
"Oh sorry, lost pet dog. Everything is fine.",none,NOISE,0
Please send help to South Flyover. We have a building fire involving a fuel tanker.,south flyover; building fire; fuel tanker,FIRE,2
Oh my god! The caller says there is a fuel leak at Railway Yard.,railway yard; fuel leak; caller,HAZMAT,3
I think there has been a car rollover near North Underpass. several injured people. People are moving away. A child is waiting.,several injured people; north underpass; car rollover,CRASH,3
There's... Help! Caller reports a medical emergency at Commercial Street. There is fuel leak.,fuel leak; commercial street; medical emergency,MEDICAL,3
The caller says there is a forest fire at Port Entrance. The incident happened about half an hour ago.,port entrance; forest fire; caller,FIRE,2
The caller says there is a building collapse at Harbor Area. A resident is waiting. A resident is waiting. What do I do?!,building collapse; harbor area; resident,RESCUE,4
"It's, um, Oh my god! I am near Airport Road and there has been a fallen tree. The road is affected and I can see oil spill. The weather is lightning. The weather is lightning.",fallen tree; airport road; oil spill,RESCUE,3
There's... 911? Heavy cyclonic winds is making the situation worse near Old Railway Crossing. There is a fuel leak. The incident happened this afternoon.,old railway crossing; fuel leak; cyclonic winds,HAZMAT,2
"Oh sorry, pocket dial. Everything is fine.",none,NOISE,0
"It's, um, Please hurry! There has been a landslide near Commercial Street. I can see a truck involved and one injured person. The weather is heavy rain.",one injured person; commercial street; heavy rain,RESCUE,3
"I... I don't know, I think there has been a wildfire near Airport Junction. people with minor injuries. The incident happened late last night.",people with minor injuries; airport junction; wildfire,FIRE,3
There's... We have a warehouse fire near Central Flyover. It happened just now. People are moving away. What do I do?!,central flyover; warehouse fire; theres,FIRE,2
"Oh sorry, cat stuck in tree. Everything is fine.",none,NOISE,0
"Wait, yes, There has been a building fire near Central Flyover. I can see a SUV involved and multiple casualties. Please hurry!",central flyover; multiple casualties; building fire,FIRE,5
Oh my god! The caller says there is a lightning strike at Coastal Road.,lightning strike; coastal road; caller,CYCLONE,1
"Oh sorry, parking issue. Everything is fine.",none,NOISE,0
"Oh sorry, loud music from neighbor. Everything is fine.",none,NOISE,0
A driver says there is a earthquake damage near Outer Ring Road. They noticed fuel leak.,outer ring road; earthquake damage; fuel leak,RESCUE,5
"I... I don't know, Caller reports a railway accident at Central Flyover. There is diesel leak.",railway accident; central flyover; diesel leak,CRASH,2
Ahhh! The caller says there is a gas leak at Warehouse District. Traffic is building up. Visibility is poor. Please hurry!,gas leak; warehouse district; ahhh,HAZMAT,2
"Wait, yes, Heavy continuous rainfall is making the situation worse near Old Railway Crossing. There is a gas leak. A resident is waiting. The incident happened just now.",old railway crossing; continuous rainfall; gas leak,HAZMAT,3
Please hurry! Please send help to Eastern Bypass. We have a motorcycle accident involving a train.,motorcycle accident; eastern bypass; train,CRASH,2
The caller says there is a factory fire at Main Highway.,main highway; factory fire; caller,FIRE,2
"I... I don't know, Help! We have a urban flooding near Central Flyover. It happened during rush hour.",central flyover; urban flooding; dont,FLOOD,3
"Wait, yes, Reports are coming in from Central Flyover about a stampede. There is blocked road.",blocked road; central flyover; stampede,RESCUE,1
Ahhh! The caller says there is a evacuation at River Bridge. The incident happened early this morning.,river bridge; evacuation; ahhh,RESCUE,2
Help! A security guard says there is a building collapse near Old Bridge. They noticed live electrical wires. The weather is cyclonic winds. People are moving away. Send someone now!,live electrical wires; old bridge; building collapse,RESCUE,4
Heavy lightning is making the situation worse near Factory Road. There is a car rollover. People are moving away. Traffic is building up.,factory road; car rollover; lightning,CRASH,2
Heavy cyclonic winds is making the situation worse near Bus Terminal. There is a missing person. A driver is waiting. Please hurry!,missing person; bus terminal; cyclonic winds,RESCUE,2
"It's, um, Oh my god! Heavy stormy weather is making the situation worse near Harbor Area. There is a urban flooding. The incident happened about half an hour ago. The incident happened about half an hour ago. Send someone now!",stormy weather; urban flooding; harbor area,FLOOD,2
911? A construction worker says there is a wildfire near Tunnel Entrance. They noticed fire.,construction worker; tunnel entrance; wildfire,FIRE,2
Oh my god! The caller says there is a warehouse fire at Highway Toll Plaza. What do I do?!,highway toll plaza; warehouse fire; caller,FIRE,3
911? Reports are coming in from Tunnel Entrance about a industrial accident. There is oil spill. What do I do?!,oil spill; industrial accident; tunnel entrance,MEDICAL,3
I am near Coastal Road and there has been a bridge damage. The road is affected and I can see gas leak. Traffic is building up.,gas leak; coastal road; bridge damage,RESCUE,2
I think there has been a chemical spill near North Underpass. an unconscious person. What do I do?!,an unconscious person; north underpass; chemical spill,HAZMAT,4
Help! The caller says there is a cyclone damage at City Center. The incident happened during rush hour. Visibility is poor.,city center; cyclone damage; help,CYCLONE,2
"Oh sorry, general noise. Everything is fine.",none,NOISE,0
Oh my god! There has been a crowd emergency near Industrial Gate. I can see a fuel tanker involved and three injured passengers. Visibility is poor.,three injured passengers; crowd emergency; industrial gate,RESCUE,3
911? Heavy dense fog is making the situation worse near City Center. There is a building collapse. Traffic is building up.,city center; building collapse; dense fog,RESCUE,5
"It's, um, We have a car rollover near Old Bridge. It happened a few minutes ago.",old bridge; car rollover; happened,CRASH,2
911? Caller reports a fuel leak at Underpass. There is fallen tree. The weather is wet roads. Traffic is building up. Send someone now!,fallen tree; fuel leak; wet roads,HAZMAT,2
"Oh sorry, wrong number. Everything is fine.",none,NOISE,0
Please hurry! I think there has been a heat emergency near Railway Station. one injured person. Traffic is building up. The weather is cyclonic winds.,one injured person; railway station; cyclonic winds,MEDICAL,3
"Wait, yes, A resident says there is a forest fire near Industrial Area. They noticed fallen tree. People are moving away. People are moving away.",industrial area; fallen tree; forest fire,FIRE,2
I think there has been a building fire near Market Road. multiple casualties. The weather is dense fog.,dense fog; multiple casualties; market road,FIRE,5
There's... The caller says there is a aircraft emergency at Market Road.,aircraft emergency; market road; theres,CRASH,1
Please hurry! I think there has been a dam overflow near Coastal Road. two injured people. A worker is waiting. Traffic is building up.,two injured people; coastal road; dam overflow,FLOOD,3
Please hurry! I am near Factory Road and there has been a lightning strike. The road is affected and I can see rising water.,lightning strike; rising water; factory road,CYCLONE,1
Caller reports a wildfire at Market Road. There is blocked road.,blocked road; market road; wildfire,FIRE,2
A driver says there is a motorcycle accident near Bus Depot. They noticed diesel leak. People are moving away. Please hurry!,diesel leak; motorcycle accident; bus depot,CRASH,3
Oh my god! Heavy poor visibility is making the situation worse near Shopping District. There is a car rollover.,poor visibility; shopping district; car rollover,CRASH,1
"It's, um, Oh my god! A resident says there is a missing person near Riverbank. They noticed toxic fumes. The weather is thunderstorm. Visibility is poor. Please hurry!",missing person; toxic fumes; thunderstorm,RESCUE,2
